CustomerID,Age,Gender,MaritalStatus,IncomeLevel,AmountSpent,TransactionDate,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus,InteractionCount,LastInteraction,ComplaintCount,FeedbackCount,InquiryCount,ResolvedCount,UnresolvedCount
1,62,M,Single,Low,416.5,1,21/10/2023,34,Mobile App,0,1,31/03/2022,0,0,1,1,0
2,65,M,Married,Low,1547.4199999999998,7,05/12/2023,5,Website,1,1,17/03/2022,0,0,1,1,0
3,18,M,Single,Low,1702.98,6,15/11/2023,3,Website,0,1,24/08/2022,0,0,1,1,0
4,21,M,Widowed,Low,917.29,5,25/08/2023,2,Website,0,2,18/11/2022,0,0,2,1,1
5,21,M,Divorced,Medium,2001.49,8,27/10/2023,41,Website,0,,,,,,,
6,57,F,Divorced,Medium,1164.29,5,17/09/2023,2,Website,0,1,05/05/2022,0,1,0,1,0
7,27,F,Married,High,86.73,1,07/01/2023,32,Mobile App,0,,,,,,,
8,37,M,Single,Low,2046.88,7,22/04/2023,17,Online Banking,1,2,13/09/2022,0,1,1,0,2
9,39,M,Divorced,High,1317.24,5,27/06/2023,24,Website,0,1,15/08/2022,0,0,1,1,0
10,68,M,Married,High,1397.36,7,13/01/2023,29,Online Banking,1,,,,,,,
11,54,M,Divorced,Medium,1733.83,5,22/01/2023,30,Online Banking,0,2,28/10/2022,0,2,0,1,1
12,41,F,Married,Low,87.1,1,31/12/2023,43,Website,0,2,29/11/2022,0,1,1,1,1
13,24,F,Divorced,Low,392.02,3,05/07/2023,10,Mobile App,0,1,27/07/2022,1,0,0,1,0
14,42,M,Widowed,Medium,2843.59,9,10/01/2023,26,Online Banking,0,2,29/07/2022,1,1,0,1,1
15,42,M,Divorced,Medium,1914.02,8,15/06/2023,44,Online Banking,0,2,18/10/2022,1,1,0,0,2
16,30,F,Single,Medium,2019.79,9,15/03/2023,41,Online Banking,1,2,08/09/2022,0,0,2,2,0
17,19,M,Married,Low,1625.27,7,03/09/2023,8,Online Banking,0,2,11/05/2022,0,0,2,1,1
18,56,F,Married,High,951.3800000000001,5,24/11/2023,37,Website,1,1,08/11/2022,0,0,1,0,1
19,57,F,Divorced,High,1017.26,5,08/03/2023,39,Online Banking,0,2,28/11/2022,2,0,0,0,2
20,41,M,Single,Low,2775.85,9,15/08/2023,16,Website,0,1,19/07/2022,0,1,0,1,0
21,64,M,Divorced,High,913.02,5,16/06/2023,18,Website,0,,,,,,,
22,42,F,Divorced,Low,1582.73,6,06/05/2023,42,Mobile App,0,2,06/08/2022,0,0,2,2,0
23,35,F,Divorced,Low,1490.74,4,07/07/2023,19,Mobile App,0,2,18/03/2022,2,0,0,1,1
24,55,M,Widowed,Medium,1143.22,5,04/10/2023,12,Mobile App,0,1,02/11/2022,1,0,0,1,0
25,43,F,Married,Low,764.77,3,15/02/2023,27,Mobile App,0,1,06/12/2022,0,1,0,1,0
